StateID,State,Local Translated,CityID,City,Local Translated,lat,long
2523,Al-Riyadh,??????,232783,Hotat Sudair,???? ????,25.6033 ,45.6090 
2523,Al-Riyadh,??????,232785,Jalajel,?????,25.6834 ,45.4592 
2523,Al-Riyadh,??????,25950,Kharj,?????,24.1733 ,47.3437 
2523,Al-Riyadh,??????,25952,Majma,???????,25.9048 ,45.3346 
2523,Al-Riyadh,??????,232787,Mrat,????,25.0699 ,45.4639 
2523,Al-Riyadh,??????,25954,Muzahmiah,?????????,24.4663 ,46.2786 
2523,Al-Riyadh,??????,232765,Oyaynah,???????,24.9018 ,46.3865 
2523,Al-Riyadh,??????,232789,Qasab,?????,25.2981 ,45.5205 
2523,Al-Riyadh,??????,25956,Quwei'ieh,????????,24.0769 ,45.2947 
2523,Al-Riyadh,??????,25968,Remah,????,25.5637 ,47.1606 
2523,Al-Riyadh,??????,25958,Riyadh,??????,24.5683 ,46.7962 
2523,Al-Riyadh,??????,232791,Rowdat Sodair,???? ????,25.6025 ,45.4686 
2523,Al-Riyadh,??????,232767,Rwaydah,??????,24.7327 ,46.7624 
2523,Al-Riyadh,??????,245240,Sajir,????,25.1859 ,44.6020 
2523,Al-Riyadh,??????,232771,Salbookh,?????,25.0791 ,46.3457 
2523,Al-Riyadh,??????,25970,Shaqra,?????,25.1759 ,45.1420 
2523,Al-Riyadh,??????,232773,Shefa'a,??????,23.4950 ,45.5228 
2523,Al-Riyadh,??????,25960,Sulaiyl,??????,20.4669 ,45.5629 
2523,Al-Riyadh,??????,232777,Thadek,????,25.2963 ,45.8701 
2523,Al-Riyadh,??????,232793,Thumair,????,25.7134 ,45.8707 
2523,Al-Riyadh,??????,232795,Um Aljamajim,?? ???????,26.8806 ,45.3229 
2523,Al-Riyadh,??????,25974,Wadi El Dwaser,???? ???????,20.1472 ,44.8505 
2523,Al-Riyadh,??????,25962,Zulfi,??????,26.3642 ,44.9210 
2524,Asir{ Aseer},????,25978,Abha,????,18.2148 ,42.4798 
2524,Asir{ Aseer},????,25980,Ahad Rufaidah,??? ?????,18.1785 ,42.8163 
2524,Asir{ Aseer},????,232647,Balasmar,??????,18.7925 ,42.2560 
2524,Asir{ Aseer},????,232649,Bareq,????,18.9305 ,41.9296 
2524,Asir{ Aseer},????,25986,Bisha,????,19.9976 ,42.6073 
2524,Asir{ Aseer},????,25992,Dhahran Al Janoob,????? ??????,17.6652 ,43.5174 
2524,Asir{ Aseer},????,232651,Harjah,??????,17.9204 ,43.3729 
2524,Asir{ Aseer},????,25988,Khamis Mushait,???? ????,18.3129 ,42.7406 
2524,Asir{ Aseer},????,232655,Majarda,????????,19.1284 ,41.9246 
2524,Asir{ Aseer},????,232657,Mohayel Aseer,????? ????,18.5474 ,42.0534 
2524,Asir{ Aseer},????,25984,Namas,??????,19.1134 ,42.1671 
2524,Asir{ Aseer},????,232659,Rejal Alma'a,???? ????,18.2650 ,42.2510 
2524,Asir{ Aseer},????,232661,Sabt El Alaya,??? ???????,19.5262 ,41.9482 
2524,Asir{ Aseer},????,232663,Sarat Obeida,???? ?????,18.0701 ,43.1626 
2524,Asir{ Aseer},????,232665,Tanuma,???????,18.9290 ,42.1770 
2524,Asir{ Aseer},????,232667,Tatleeth,?????,19.5264 ,43.5331 
2524,Asir{ Aseer},????,232669,Wadeien,????????,18.0974 ,42.8150 
2525,Eastern Region?{Ash-Sharqiyah},???????,26040,Abqaiq,????,25.9431 ,49.6758 
2525,Eastern Region?{Ash-Sharqiyah},???????,232801,Ain Dar,??? ???,25.9492 ,49.4237 
2525,Eastern Region?{Ash-Sharqiyah},???????,232843,Al Hassa,???????,27.1288 ,49.5560 
2525,Eastern Region?{Ash-Sharqiyah},???????,26026,Anak,???,26.5058 ,49.9854 
2525,Eastern Region?{Ash-Sharqiyah},???????,232805,Batha,?????,24.1308 ,51.5702 
2525,Eastern Region?{Ash-Sharqiyah},???????,25998,Dammam,??????,26.4249 ,50.0521 
2525,Eastern Region?{Ash-Sharqiyah},???????,26038,Dhahran,???????,26.3708 ,50.1742 
2525,Eastern Region?{Ash-Sharqiyah},???????,26042,Hafer Al Batin,??? ??????,28.4526 ,45.9753 
2525,Eastern Region?{Ash-Sharqiyah},???????,232807,Harad,???,24.1354 ,49.0817 
2525,Eastern Region?{Ash-Sharqiyah},???????,232809,Haweyah,??????,24.8023 ,49.3856 
2525,Eastern Region?{Ash-Sharqiyah},???????,26004,Hofuf,??????,25.3300 ,49.5700 
2525,Eastern Region?{Ash-Sharqiyah},???????,26006,Jubail,??????,27.1288 ,49.5560 
2525,Eastern Region?{Ash-Sharqiyah},???????,26010,Khafji,??????,28.4183 ,48.4850 
2525,Eastern Region?{Ash-Sharqiyah},???????,26012,Khobar,?????,26.1389 ,50.1472 
2525,Eastern Region?{Ash-Sharqiyah},???????,232815,Mubaraz,??????,25.4051 ,49.5484 
2525,Eastern Region?{Ash-Sharqiyah},???????,232817,Mulaija,?????,27.2669 ,48.4288 
2525,Eastern Region?{Ash-Sharqiyah},???????,232823,Othmanyah,?????????,25.1937 ,49.3095 
2525,Eastern Region?{Ash-Sharqiyah},???????,232825,Qarah,??????,25.4152 ,49.6797 
2525,Eastern Region?{Ash-Sharqiyah},???????,232827,Qariya Al Olaya,???? ??????,27.5696 ,47.7040 
2525,Eastern Region?{Ash-Sharqiyah},???????,26016,Qatif,??????,26.5528 ,50.0027 
2525,Eastern Region?{Ash-Sharqiyah},???????,26018,Qaysoomah,????????,28.3107 ,46.1231 
2525,Eastern Region?{Ash-Sharqiyah},???????,232829,Ras Al Kheir,??? ?????,27.4930 ,49.1424 
2525,Eastern Region?{Ash-Sharqiyah},???????,232831,Ras Tanura,??? ?????,26.7022 ,50.0688 
2525,Eastern Region?{Ash-Sharqiyah},???????,232833,Safanyah,????????,27.9424 ,48.6614 
2525,Eastern Region?{Ash-Sharqiyah},???????,26048,Safwa,????,26.6275 ,49.9162 
2525,Eastern Region?{Ash-Sharqiyah},???????,232835,Salwa,????,24.7404 ,50.7573 
2525,Eastern Region?{Ash-Sharqiyah},???????,232837,Sarar,???????,26.9882 ,48.3789 
2525,Eastern Region?{Ash-Sharqiyah},???????,26052,Seihat,?????,26.4751 ,50.0072 
2525,Eastern Region?{Ash-Sharqiyah},???????,26054,Tarut,?????,26.5450 ,50.0765 
2525,Eastern Region?{Ash-Sharqiyah},???????,232841,Udhaliyah,????????,25.1415 ,49.3146 
2525,Eastern Region?{Ash-Sharqiyah},???????,26024,Uyun,????,25.6213 ,49.5789 
2526,Hail,????,26064,Hail,????,27.5642 ,41.6884 
2527,Jizan{Gizan},?????,26078,Abu Areish,??? ????,16.9811 ,42.8211 
2527,Jizan{Gizan},?????,26080,Ahad Masarha,??? ????????,16.7154 ,42.9526 
2527,Jizan{Gizan},?????,26084,Bish,???,17.3794 ,42.5473 
2527,Jizan{Gizan},?????,26088,Damad,???,17.1090 ,42.7760 
2527,Jizan{Gizan},?????,232681,Darb,?????,17.7336 ,42.2658 
2527,Jizan{Gizan},?????,232683,Farasan,?????,16.7019 ,42.1210 
2527,Jizan{Gizan},?????,26090,Gizan,?????,16.8615 ,42.6244 
2527,Jizan{Gizan},?????,232685,Karboos,???????,16.8746 ,42.6330 
2527,Jizan{Gizan},?????,26092,Sabya,????,17.1706 ,42.5908 
2528,Makkah{Mecca},??? ???????,232739,Alhada,?????,21.3578 ,40.2782 
2528,Makkah{Mecca},??? ???????,232717,Amaq,???,18.4591 ,41.4638 
2528,Makkah{Mecca},??? ???????,232729,Asfan,?????,21.9002 ,39.3829 
2528,Makkah{Mecca},??? ???????,26110,Bahara,????,21.3795 ,39.4347 
2528,Makkah{Mecca},??? ???????,232721,Birk,?????,18.2071 ,41.5363 
2528,Makkah{Mecca},??? ???????,26098,Hawea/Taif,??????,21.4236 ,40.4924 
2528,Makkah{Mecca},??? ???????,232703,Ja'araneh,??????,21.5503 ,39.9504 
2528,Makkah{Mecca},??? ???????,26112,Jeddah,???,21.7430 ,39.1421 
2528,Makkah{Mecca},??? ???????,26100,Jumum,??????,21.6427 ,39.7653 
2528,Makkah{Mecca},??? ???????,232731,Khulais,????,22.1163 ,39.3128 
2528,Makkah{Mecca},??? ???????,26102,Khurma,??????,21.9202 ,42.0293 
2528,Makkah{Mecca},??? ???????,232723,Laith,?????,20.1405 ,40.2782 
2528,Makkah{Mecca},??? ???????,26114,Makkah,???,21.4364 ,39.8000 
2528,Makkah{Mecca},??? ???????,232733,Mastura,??????,23.0917 ,38.8415 
2528,Makkah{Mecca},??? ???????,232725,Muthaleif,???????,19.5390 ,41.0495 
2528,Makkah{Mecca},??? ???????,245212,Nimra,?????,22.6122 ,41.1452 
2528,Makkah{Mecca},??? ???????,232705,Nwariah,????????,21.5497 ,39.7446 
2528,Makkah{Mecca},??? ???????,26104,Qunfudah,???????,19.1216 ,41.0835 
2528,Makkah{Mecca},??? ???????,26116,Rabigh,????,22.7907 ,39.0190 
2528,Makkah{Mecca},??? ???????,26118,Rania,????,21.2627 ,42.8540 
2528,Makkah{Mecca},??? ???????,26108,Taif,??????,21.2884 ,40.4083 
2528,Makkah{Mecca},??? ???????,26120,Turba,????,21.1820 ,41.6499 
2528,Makkah{Mecca},??? ???????,232737,Zahban,?????,21.9309 ,39.1160 
2529,Najran,?????,26124,Najran,?????,17.5304 ,44.2017 
2529,Najran,?????,26126,Sharourah,?????,17.4888 ,47.1045 
2530,Northern Borders?{Al-Hudud ash-Shamaliyah},?????? ????????,26130,Arar,????,30.9853 ,41.0369 
2530,Northern Borders?{Al-Hudud ash-Shamaliyah},?????? ????????,26132,Rafha,?????,29.6225 ,43.5210 
2530,Northern Borders?{Al-Hudud ash-Shamaliyah},?????? ????????,26134,Turaif,????,31.6808 ,38.6595 
2531,Tabuk,????,232845,Al Bada,?????,28.4730 ,35.0278 
2531,Tabuk,????,26142,Duba,???,27.3457 ,35.7243 
2531,Tabuk,????,232847,Halat Ammar,???? ????,29.1694 ,36.0785 
2531,Tabuk,????,26144,Haqil,???,29.2830 ,34.9479 
2531,Tabuk,????,26146,Tabuk,????,28.3659 ,36.5399 
2531,Tabuk,????,26148,Tayma,?????,27.6153 ,38.5336 
2531,Tabuk,????,26138,Wajeh (Al Wajh),?????,26.2356 ,36.4594 
